,artist_name,artist_id,genre
0,El Javi,6qZksHG4gzbRx3FZplO4Ls,[]
1,Br80,3x0tOQYysaBspzDp0PGDoM,[]
2,JpThaRuler,1n5X8uMaNKFI4BAXFpD2AZ,['westcoast flow']
3,Jimmy D,7g0eqYROzcQjp6Jflh7dPT,[]
4,Kafime,2PkEwFBI1VcQL5VYtFMd9h,[]
5,Yvng 7,2ZWVQzEjNfIydXDKtQalWN,[]
6,Talamaur,4KvSIbNlSsZ12tGXO6Jwo3,[]
7,Blockos,10epWCA0VX1WJKDffm8y7h,[]
8,AC3!,6J1pp5JZacuWUGJUcctSDr,[]
9,PROZVC,4pMTZqDH6vCRzSDy4dOvGR,[]
10,Ebenlo,1aHfKvaSC0s1YFSYb5V1IP,[]
11,Metzger Beats,51pSdKsnCMmLMW3OPK33fi,[]
12,Eric C Lyden,2LhErcEFZeRLTRvyn0cyz3,[]
13,Yonny,6FHpiparqe3BdjjfHyNXNJ,[]
14,OD ObviouslyDifferent,7w86Cap7wkjvpmvVXIQFOf,[]
15,RWE REA,5ndCWBjy6LJtWdYmbDiXI8,[]
16,Chris Hawkey,65UKFpwE4UcKay5acD6Dvp,['country pop']
17,Tammy Caesar,1Lu6LDR0EkfZi4L06O73RC,[]
18,ynslilblake,6kx1VhlWt7xtieIfCJaUml,[]
19,Satin,5p6th7vt7x3vFbBYmhOFsE,[]
20,Classical Lullabies TaTaTa,466JHuLLsvbNYj0LGUoU5W,['lullaby']
21,The Consequences of Our Own Actions,3RazBZ86VGxJErdeVPQUdT,[]
22,Love Noka,57HSmhUFE49uUMizGB4MW0,['phoenix indie']
23,GhostEntertainmentMusic,3lVAXVzLj5rv5kZ0AJqSSv,[]
24,DTAP,6bl1UOtEMog4pq22RTg8Ab,[]
25,LilRyan,2ybqOlPAzSNpxuSrJol2R0,[]
26,Vicious Teknique,6RBNZiacrZR9qaof2aak4A,[]
27,Jay Brown the Cowboy Boss,2PfYazboLumxdDM3X3A0U7,[]
28,Da Foundation,5d8B1IrcNRMqL1SM8YnUlx,[]
29,Brett Schleicher,1Vx5OLiZcfDz95ReoCSBQc,[]
30,TEXAS BOYZ,40qj4OBMZQvOZfqhoSE758,[]
31,Various Artists,0LyfQWJT6nXafLPZqxe9Of,[]
32,Mack Biggers,1sjjaAbcQF0iQPM3YhGbU3,[]
33,JBT 45,7gQqLl5PjPvRxm80mEHMHQ,[]
34,Dr. Charles G. Hayes,46Lq0z4kAyZehou1hnoQga,[]
35,Dino BTW,4ntfGY98LWEncjHnw0XBaj,['trap queen']
36,Jared Dixon,3eKKoEbiLMpeKYNCb31rer,[]
37,Hosty,515b3CJD3LwLfr6npvIUdA,[]
38,The Nielsen Family Band,7qJ01dvfd5DvagmW2x7ZdW,[]
39,Kidzone,6i1qu6ITcSL2Ss6qr7Nzkn,[]
40,Silktail,5tKDSAGGnohXmVaN75wYP1,[]
41,Cousin Simple,2E2W9MFs2OLciSGq8Mp03r,[]
42,Adrian Bagher,2LtS36tEm1eMboVt2gQaxm,[]
43,Mimi Naja,5NM14aQ5fNER0bDEcwcL65,[]
44,Matthew Sweet,2idymNTKUdnTxforkb12Mw,"['alternative country', 'alternative pop', 'alternative rock', 'jangle pop', 'laboratorio', 'pop rock', 'power pop', 'roots rock', 'underground power pop']"
45,Takedown Demon,3Iqy8Y8tCYPNJSQi4btCrH,[]
46,Boxelder,4IOp11OGJu17ORbUA6FqsK,[]
47,Pink Noise Therapy,1a6j9ZTTXIkIpI7mBH7SPk,['white noise']
48,Dave P,5mcw3986gGOk4ppOH8KnrV,[]
49,1700 Quan,02cF4Mmd2flDjoQjMv2uKJ,[]
50,Big Bando,7k0JwoXRbQuFIQEsPZT11A,[]
51,Vapid Rumors,1oZqvn5s4FcinO5TgWKnhk,[]
52,曹依振,5i3PG6XFuMVV4xV6SeVCDX,[]
53,Bummer Hill,093hg8dfGj12VX0LKFltAn,[]
54,Fin Varra,3DqTw0NJrXaPEW6WUiTmaE,[]
55,The Wires,0bxahn8CFfPkNvNc81Zmxr,[]
56,Aaron & Jeoffrey,6us91OXxtp7vOMyD9OAY5r,[]
57,Ty Walker,2RcAs0GpFgsz55D0NkmkBb,[]
58,Blackjesus Yoshua,2Dy3fOAUcKb7G3NdUcQuEG,[]
59,Bird,2eX40MH1c7T9cgiMOOyjID,[]
60,Parking Lot Party,3kAh6dZjx5QY4XSmXZYwQ9,[]
61,Deligah Grier Publishing,08tubbiOMEuPGbZ2FaLS08,[]
62,David Mayfield,2JdPy59pxHoq6m6pfgILnI,[]
63,HavinMotion,4Gl9z6ofcOFmKePvJJkaEv,[]
64,TrapmoneyWink,7ezNY3NhdwWExIEzF6uYTm,[]
65,Money Tigger,3d2Bg5bAiyK8hzMf4q1oYv,[]
66,Newport,6bVgPdXYZVIXXn5kVISSGs,['anthem worship']
67,The Brand New Heavies,3DEveX6KVzhPDqq2VRuN14,['acid jazz']
68,Zeros Second,3gSj9Xz1PXyVUXNS4zLBYd,[]
69,Constructicon,1sKDC4kZEJhV0HckyaCNaN,[]
70,Tropicalísimo Apache,1veLiIQBt4YcFO5Z36DwFO,"['cumbia lagunera', 'gruperas inmortales', 'musica coahuilense', 'tropical']"
71,Edgar Dickey,0CjutvaICcFL2wlYQ3kQRQ,[]
72,Truco Truco,2Z10FhVYFcboFJYbDyOefX,[]
73,Jstream,5rTMsjoDdOPEvtRuNx9spN,[]
74,AveBabyy,00JazNo8gow13inraufYRj,[]
75,XanMan,1cyidXIhLIwg1WAEm7rJQP,"['dmv rap', 'vapor trap']"
76,Pure Elegance,1MNXP3xNtL6tvPZKy7RZUw,['go-go']
77,Flip Thv Script,4pnF4ADfSl3tTlB73ZgFL8,[]
78,Mairin May,5rvKp0ih5CWVm06Y5mII5x,[]
79,Demian Slade,1wmEd0a19M1TXzunT8NkOP,[]
80,Pure Elegance,1MNXP3xNtL6tvPZKy7RZUw,['go-go']
81,Q Drippy,3QuyZ4EYYHJY3uFLrV3A22,[]
82,Milly Racks,3oTxYvPIeaVa60CkdJbhbS,[]
83,10ShotCy,3UqtorHHingUFtq7MFZyTt,[]
84,Wild Powwers,5TsPvF1vgTf6y7GGtMUgw0,"['cascadia psych', 'seattle indie']"
85,DonSix,0ACDIjRWG2WiXbs5VwifX8,[]
86,DonSix,0ACDIjRWG2WiXbs5VwifX8,[]
87,AB Dankoo,53cbFZC6k13AJLW5ZUzuor,[]
88,Big U On The Beat,6AaNmoBLIgrhGYYGUusgSK,[]
89,DonSix,0ACDIjRWG2WiXbs5VwifX8,[]
90,Elysium SZN,1nLZBIHNoPuH1JKS6W8W1T,[]
91,Gizzle00,2MroYkzRIgFdq0QJFH9fmV,[]
92,TAB Flamez,5Fmg5AfE7yDVOgfKysYa4q,[]
93,Malachi X,6E3PcupuACrX987VQ1oXiW,"['baton rouge rap', 'deep southern trap']"
94,Bluzi Bythaway,5BJzBCzjt01covtzgPUMf5,[]
95,Pure Elegance,1MNXP3xNtL6tvPZKy7RZUw,['go-go']
96,Jin Riko,5LsUnnWqHxScXKcB9TyEzz,[]
97,MT Kbandz,2bdzDiDkvs0r81J8iWEcq4,[]
98,MT Kbandz,2bdzDiDkvs0r81J8iWEcq4,[]
99,Rouga Lirical,6RmoUEVZCB0JxSsKlQvYuv,[]
100,AVXiD,599qEWmOBLBMl4UbsRCaEk,[]
101,Co Staccs,5aT3HQGQARbprSH4qCT3ZR,[]
102,Foul Al,2iBVJQuzpu8PLM3W6mHZFg,[]
103,MT Kbandz,2bdzDiDkvs0r81J8iWEcq4,[]
104,Royal Misfit,6qRbqDgUGcH6tNHWN6NTcr,[]
105,Lokalboy,02RQAXLERvr8S2pbPN1FRs,[]
106,Crude Moxie,0cvjGM6n0Ix8cnajCVESJy,[]
107,Qiao Lu,1B0iyhotaNDpULkWPjg8pD,[]
108,A.b.lewis,2b1avJYyTQcbT70gdgxFyp,[]
109,Truth Among Ashes,3Xt6s51i52V6U4nCW1SOiG,[]
110,DeadisunknXwn,7N3ONTcw87YNYP9JDuQC28,[]
111,A.b.lewis,2b1avJYyTQcbT70gdgxFyp,[]
112,L'a Papas,768B9eUEBu1NbexFSW7p6o,[]
113,Jackley Sky,5pbiMrKCFUzllt3FS7VNOf,[]
114,FLORES,1V5oIK13RsNmrZ0YJP4PE1,[]
115,Slimey Beezo,4ctjFmTtPirN4OH3CeJxVa,[]
116,Jackley Sky,5pbiMrKCFUzllt3FS7VNOf,[]
117,Kellkito,1RoKYbqdxh3IkjxNMQmt6r,[]
118,Castel,3OHBJor6am5GWyD2PbluMq,[]
119,Kay Boogie,1m0lBXBQtim948mrNIiWlk,[]
120,.godclap,2zl6CkZRrM1HDHhkHGJgwM,[]
121,MT Kbandz,2bdzDiDkvs0r81J8iWEcq4,[]
122,MT Kbandz,2bdzDiDkvs0r81J8iWEcq4,[]
123,Gloxkfrmdaland,2kTC4KlYKxFp2UB3F0KXkY,[]
124,Lee Lo,0zuuDTA9iaMCe4A6m2v93M,[]
125,LIL Celebrity,7zFlIOD0gmJcXjHfzQ6WHL,[]
126,Cmax,1dMg6rcugq7E2ucvPjQifB,[]
127,Ky,20TMyijjd3enMwmkoyh4QE,[]
128,Castel,3OHBJor6am5GWyD2PbluMq,[]
129,Highclass23,0NKqQYzz1s3qE3XQZlai0P,[]
130,luhtaeman,6iLQCgE2PN7rGg4MjDa3fk,[]
131,Castel,3OHBJor6am5GWyD2PbluMq,[]
132,MT Kbandz,2bdzDiDkvs0r81J8iWEcq4,[]
133,MT Kbandz,2bdzDiDkvs0r81J8iWEcq4,[]
134,Winno,5JlalTeig8yOnvDXFqVp8B,[]
135,Rifa,7BkzBO2KDFjalDiJq1LaLN,[]
136,Tall Itty,5u89muLidfsTnNdHIjW1bF,[]
137,MoneyBagKZ,4IgWGPB2YjmAw8qegnml7I,[]
138,Pure Elegance,1MNXP3xNtL6tvPZKy7RZUw,['go-go']
139,Trezzio,1hZq8oFA9zTH7Csa7hvWVt,[]
140,Playboitendo,4JkkiSWbqdPPVmNGoSTZ3i,[]
141,Orrin King,7CWTd4Zg6Gf9LldbQQjhzU,[]
142,The Dibbles,607jiaqsGFqmTkY9fn05IO,[]
143,Daniel O,4DJdmuImcKFYWpR8hXi6mt,[]
144,Prismo Eclectic,5bZ7lcRvoM4iNj2BnsqyKu,[]
145,R Flow La Para,7KAgYcS1wRaVFZn23GkHq9,[]
146,Gee Pugzy,6yIejRtIyJgVi5Dlfw1UHO,[]
147,Gary Chose,7LpARniEQwd3YXs94RPpwx,[]
148,Spice Marley,6wRqxNtK5Yais7jIo78oh8,[]
149,Lul DreDay,3iJk6wDUly0uF53bdlBfvT,[]
150,12 Steps To Nothing,3XjnSlN7qip5gC8Ujnhp8h,[]
151,GSB Paid,2pzDmvYe2IGnwngeropsdK,[]
152,Feral Rawk Addict,7HpFRKyIQpKNboHW1iLl1L,[]
153,Jag Arreola,5hRqWik8aQlUOuoshcoQQl,[]
154,Dayami,6kC3MEEogEsxYPFJ04psmp,[]
155,Demian Slade,1wmEd0a19M1TXzunT8NkOP,[]
156,Zeplinn,0Dhb5DvCI1DAWGQVr9DmuJ,[]
157,Blahzi,64DBDLjH2dXl4SFf5Zxhw7,[]
158,Sikatris,4FUXY4ClSO31nXsdORfPyT,[]
159,Rifa,7BkzBO2KDFjalDiJq1LaLN,[]
160,生蓝,593zej2vjdb1zuXb9VAy1g,[]
161,Tree1600,0sqn289TU8X6uOGI4QYf4H,[]
162,Saint James,4amcg6gWzL1NDFtCTMjlDF,[]
163,milk,4n9PQEhqhgWxAU88mRqvLR,[]
164,Savvy,12QUyDRjou6AQQhk6G8WK0,[]
165,The HooliganZ,7n8m4rlV4zxnDXb57J6hVs,[]
166,Tony Eufracio,6JwuySIrA961OypVTPcCS1,[]
167,Ethan Setiawan,4PiLSMo2ZPdBLhSNv1Rggn,['mandolin']
168,Last Bronzeman,29d1UEPtA7kzuKVSAYyQky,[]
169,Sensawunda,2AwE6bUBA7dMcUgbD7DHY4,[]
170,Althea,0Jb3fyuGoPuNWu1aEB7SFP,[]
171,Dizzy Spins,4B02Qh68llXQbAqXAyxCL1,[]
172,Sp3ctr3,5oE1CAMFiUDWVzP117kuxv,[]
173,4am Rarri.tv,3CHd4S9ySOTSAlNVEIoEV0,[]
174,DJ WYNTER ONLYRAPPERHEARDWORLDWIDE COKEBOY,1maWNfWjd5tdViITFNp5lj,[]
175,Lou Costello,0XSMxJge1jKr3YCZBht3QT,[]
176,TrakLegend,50yclhdPLsIcAdIlkxyE0O,[]
177,Meditative Zen,04LBIXh5mVJFEgJeW6Frxn,[]
178,Press your luck,2D0r5oTmHchE97Wpe6nqru,[]
179,Fox Teeth,76VMGsrr08CYw4BD3Vl4He,['5th wave emo']
180,Dr S,4jxo0xYy894R3yvRLMII3r,[]
181,v-tec king of la,4B3TnmlASrE7VLQsAtoehO,[]
182,Anajay,7hoB14Iu7QrXTmlaX110BK,[]
183,Vufcup,2uCEAf5eOrlf7srXDrpTHC,[]
184,Mister Fitzwell,6v4icShzjTU6s89r4JaNDJ,[]
185,CashBoy Ballin,4XfWDhsY8ZDD4rCIQCNXBA,[]
186,CallMeMeech,5QuSLyshnL0rww7Lm9wRFN,[]
187,Tmang,37U5dsI8Lt1TzRuzPeE3iq,[]
188,Nikea Ronk,3Bvi3D0GiYUWRDRERZaB9S,[]
189,KHALIKO,0vRN7FbloLuAAlh5sxm0W6,[]
190,Kurlin,1ADqiC2r1whLg9hfDSBFrb,[]
191,ilyzayy,3A36SiIX6HOIxEL22eX51N,[]
192,Janara Crow,1Sk7hj4i5mniXRqYa5ndef,[]
193,King Tut (Turn Up Tony),4Fecmi6OaQ4eLCLOK2wT4C,[]
194,Savelle Tha Native,7cEhqQBVoyY1VFDBpvHAmG,[]
195,QuaZar,4zIhva79U6j8MyzMj3wcy4,[]
196,Sensawunda,2AwE6bUBA7dMcUgbD7DHY4,[]
197,Yotuma,6JuiQATVcjYJoFiYggCcny,[]
198,Zen Path,0Hlk8e0eS29sQU4ws7T7Fr,[]
199,Tren Kanha,4ZX2B5Kr6Y2k1jxkY2RQfO,[]
200,Katye Mireles,6D4PvxHlyk0ULdYZzImHOl,[]
201,BOM,6brObfcmyCwpmvnLbztqry,[]
202,Cvertt,6EikAQRp6RkddXkpOLPR9F,[]
203,Holiday Ray,76tjH317k8yihTx3JDnhtK,[]
204,Durrell Hufford,3d9Ovr0WfceAxGZEcsFXku,[]
205,OhVee,1A89KzpM4FzYcono3gxZkQ,[]
206,WORDPLAY4U2HEAR,4daqiAmOcY8aYRwJ2LVjYP,[]
207,Bob Hewitt,2cbnW1EpZ9tEiQsofB9Aac,[]
208,Vomer,4y1NszR3E4QWXD6Vn4T3SG,[]
209,King Malachi,11Y5DMhFmrd2V2jecswLww,[]
210,MT Kbandz,2bdzDiDkvs0r81J8iWEcq4,[]
211,Jitwickk,4TjO8DcKYNYkkfnurZG9rS,[]
212,Co Staccs,5aT3HQGQARbprSH4qCT3ZR,[]
213,Chaotic,2q3ZAAJRuxj7jSnnk2AlrC,[]
214,Cryingrn,1wnDfOEFkWo2YpRZ71dFWP,[]
215,DeadboyViaell,2qUi9wpyz2MWQR0ifNAA2D,[]
216,Nas34,25pIkLO7biqW6UIGdFHCK3,[]
217,Dr S,4jxo0xYy894R3yvRLMII3r,[]
218,Dj Teddy,0YWnEV8YHz7hiHnCpUzMAv,[]
219,KNXLIDGE,20oan8FSefjbJsLQaC3qpc,[]
220,Ethan Setiawan,4PiLSMo2ZPdBLhSNv1Rggn,['mandolin']
221,Chanielle Degeorge,1mTM9PTXnwmSahHWWz93it,[]
222,Gavin Watts,7boYTQPPPh1kzPMrKCmw0h,[]
223,Various Artists,0LyfQWJT6nXafLPZqxe9Of,[]
224,Nick Nittoli,3xzm09zGUXD96eVSzTVNRj,[]
225,Dem Get Away Boyz,1Y3HdKCnO7XDF3OJHcORyr,[]
226,Dre/Parma,7dqZTKwoJWwOCIMfn4Rolc,[]
227,Tim Atlas,3CiuXDKttPUT0tWGHicFUH,"['indie poptimism', 'indie r&b', 'indie soul', 'vapor soul']"
228,Children Of Bodom,1xUhNgw4eJDZfvumIpcz1B,"['finnish death metal', 'finnish melodeath', 'finnish metal', 'melodic death metal', 'metal', 'power metal']"
229,Jean-Michel Jarre,5MhLmv7GgyjbxGqiIGasvT,"['laboratorio', 'new romantic', 'synthesizer', 'vintage french electronic']"
230,Alanis Morissette,6ogn9necmbUdCppmNnGOdi,"['canadian pop', 'canadian singer-songwriter', 'pop rock', 'singer-songwriter']"
231,Poder del Tigre y Su Musical,04WTVenGxlhdN4H6yN5ESf,[]
232,Various Artists,0LyfQWJT6nXafLPZqxe9Of,[]
233,Sombrio Hermanos,2bZ8eooqULL8GErUZbeNcK,[]
234,The Half Guided Hearts,0l17AUBHIVKJoRTDjTKqHP,[]
235,Racked Up Ready,7rKOrIisrygvHWBpopzWO1,"['baton rouge rap', 'deep southern trap']"
236,Various Artists,0LyfQWJT6nXafLPZqxe9Of,[]
237,Various Artists,0LyfQWJT6nXafLPZqxe9Of,[]
238,Blackjesus Yoshua,2Dy3fOAUcKb7G3NdUcQuEG,[]
239,Wisin & Yandel,1wZtkThiXbVNtj6hee6dz9,"['electro latino', 'latin hip hop', 'reggaeton', 'urbano latino']"
240,Slava Chekhov,0vnWh9PBGGXknBETVnLuNp,[]
241,Latif,13mOBl37EYFyZvud2tlq4E,['urban contemporary']
242,Chilly Gonzales,0qudezVgvl4Chd9BgNFB83,"['compositional ambient', 'neo-classical']"
243,Sprung Monkey,3wJSMJy1CMbp0Nr1QX76AF,[]
244,Jay Juarez,2clcbi7v8ijLLNtfW5dP2u,[]
245,Sound Frames,7gCYkRP68cYo84XiOrbcBg,[]
246,Los Broncos De Cosala,6FZcKGExkQtJcGP3co5StZ,"['classic sierreno', 'tololoche']"
247,Blackjesus Yoshua,2Dy3fOAUcKb7G3NdUcQuEG,[]
248,Young Devi D,52xK58ixgoqggxhrvNJ7b7,['kansas city hip hop']
249,Tyson James,1y5jzAFGwRwzBQq7QnqyLE,['maga rap']
250,Vickie Winans,3lRcuKNnP49qqc0AHfTTAR,['gospel']
251,Tall Cro,5z8nzN1PlcF0uGAHK3Jnzw,[]
252,Golpe Justo,20S9HaBNgZqAuOjmWwhPNm,['puerto rican rock']
253,Dara5hunnid,091JlZEuBx1Nzv17ttEW32,[]
254,Zach Coffey,1UWZzzS9LhAKL666uQrvsF,[]
255,Exodus Music and Sound,3MrKXUUaLX9IpA7c7yLoiJ,[]
256,Kampirano,5fmfWfEtjqDeMFLjoWjjBA,[]
257,Reace Sosa,2ml6G2ZOZkFDXCTFyuWtNZ,[]
258,Achilles,0O5o1VGIaNah2u6OcgbZZa,[]
259,Free Range Marmot,2gmegPZIL7KYDXbCN7IY8Y,[]
260,MixedByCrook,1EVXd5olyLoZ2iZAJvEl0s,[]
261,Bobby Hebb,2uNpV18izVIP7DNusoWbT5,['northern soul']
262,LOS ÑANIS DE GUERRERO,0u8IEbTLMUZ2fgOyvB9tj0,['musica mixteca']
263,Alfred Brendel,5vBh0nve44zwwVF5KWtCwA,"['austrian classical piano', 'classical', 'classical performance', 'classical piano']"
264,Various Artists,0LyfQWJT6nXafLPZqxe9Of,[]
265,4rr Mugz,1d8pL8tfwHIKs3gLlXW81V,[]
266,Magnet,0aPh6hUf7HfSVXtyxQs9AR,['bergen indie']
267,1TakeTheGreat,7EkLbjaNuDQFmB5WAyzSWN,[]
